order_id,product_id,product_name,actual_delivery_date
FMR34203601,25891601,Tea 500,"Friday, March 4, 2022"
FMR32320302,25891203,Butter 500,"Wednesday, March 2, 2022"
FMR33320501,25891203,Butter 500,"Thursday, March 3, 2022"
FMR34220601,25891203,Butter 500,"Friday, March 4, 2022"
FMR33703603,25891203,Butter 500,"Thursday, March 3, 2022"
FMR33721603,25891203,Butter 500,"Thursday, March 3, 2022"
FMR33420203,25891203,Butter 500,"Sunday, March 6, 2022"
FMR34420402,25891203,Butter 500,"Saturday, March 5, 2022"
FMR32403401,25891203,Butter 500,"Wednesday, March 2, 2022"
FMR34121203,25891203,Butter 500,"Sunday, March 6, 2022"
FMR32501601,25891203,Butter 500,"Wednesday, March 2, 2022"
FMR34501203,25891203,Butter 500,"Friday, March 4, 2022"
FMR34102602,25891203,Butter 500,"Friday, March 4, 2022"
FMR33902203,25891203,Butter 500,"Thursday, March 3, 2022"
FMR34903603,25891203,Butter 500,"Friday, March 4, 2022"
FMR32421203,25891203,Butter 500,"Thursday, March 3, 2022"
FMR33421203,25891203,Butter 500,"Sunday, March 6, 2022"
FMR33402203,25891203,Butter 500,"Saturday, March 5, 2022"
FMR33621603,25891203,Butter 500,"Thursday, March 3, 2022"
FMR34520301,25891203,Butter 500,"Friday, March 4, 2022"
FMR33702302,25891302,Ghee 150,"Thursday, March 3, 2022"
FMR32320302,25891302,Ghee 150,"Wednesday, March 2, 2022"
FMR34603302,25891302,Ghee 150,"Friday, March 4, 2022"
FMR34721502,25891302,Ghee 150,"Saturday, March 5, 2022"
FMR33621302,25891302,Ghee 150,"Friday, March 4, 2022"
FMR32520302,25891302,Ghee 150,"Thursday, March 3, 2022"
FMR33520601,25891302,Ghee 150,"Saturday, March 5, 2022"
FMR34520302,25891302,Ghee 150,"Saturday, March 5, 2022"
FMR32420602,25891302,Ghee 150,"Friday, March 4, 2022"
FMR32902402,25891302,Ghee 150,"Wednesday, March 2, 2022"
FMR32521302,25891302,Ghee 150,"Thursday, March 3, 2022"
FMR32720302,25891302,Ghee 150,"Wednesday, March 2, 2022"
FMR33401603,25891302,Ghee 150,"Thursday, March 3, 2022"
FMR33121302,25891302,Ghee 150,"Thursday, March 3, 2022"
FMR32903403,25891302,Ghee 150,"Wednesday, March 2, 2022"
FMR32422302,25891302,Ghee 150,"Saturday, March 5, 2022"
FMR32301302,25891302,Ghee 150,"Saturday, March 5, 2022"
FMR33721603,25891301,Ghee 250,"Thursday, March 3, 2022"
FMR32420403,25891301,Ghee 250,"Wednesday, March 2, 2022"
FMR33420301,25891301,Ghee 250,"Saturday, March 5, 2022"
FMR33320501,25891301,Ghee 250,"Thursday, March 3, 2022"
FMR33122301,25891301,Ghee 250,"Saturday, March 5, 2022"
FMR34101301,25891301,Ghee 250,"Friday, March 4, 2022"
FMR33421301,25891301,Ghee 250,"Saturday, March 5, 2022"
FMR34421301,25891301,Ghee 250,"Friday, March 4, 2022"
FMR34103403,25891301,Ghee 250,"Friday, March 4, 2022"
FMR32121301,25891301,Ghee 250,"Thursday, March 3, 2022"
FMR34203601,25891301,Ghee 250,"Friday, March 4, 2022"
FMR33402303,25891301,Ghee 250,"Thursday, March 3, 2022"
